id,A_correct,A_predicted,A_n_tool_calls,B_correct,B_predicted,B_n_tool_calls,C_correct,C_predicted,C_n_tool_calls,D_correct,D_predicted,D_n_tool_calls,E_correct,E_predicted,E_n_tool_calls,B_prime_correct,B_prime_predicted,B_prime_n_tool_calls
body_measurements_007,True,0.86,0,True,0.86,0,True,0.86,0,True,0.86,0,True,0.86,0,True,0.86,4
body_measurements_008,False,37.57,0,False,37.51,0,False,5.0,0,False,0.0,0,False,0.0,0,False,5.0,0
cardiovascular_system_001,False,2.0,0,True,6.0,0,False,75.0,0,True,6.0,4,True,6.0,0,True,6.0,4
cardiovascular_system_002,True,6.0,0,True,6.0,6,False,3.0,0,True,6.0,0,True,6.0,0,True,6.0,5
cardiovascular_system_003,False,6.0,0,False,68.0,0,False,-1.9,0,False,1.0,0,False,1.2,0,True,14.0,5
cardiovascular_system_004,False,-0.0,0,True,0.3,4,True,0.3,4,True,0.3,4,True,0.3,4,True,0.3,4
cardiovascular_system_005,True,110.0,0,True,110.0,0,True,110.0,0,True,110.0,0,True,110.0,0,True,110.0,4
cardiovascular_system_006,True,0.9,0,True,0.9,0,True,0.9,0,True,0.9,0,True,0.9,0,True,0.9,4
cardiovascular_system_007,False,4.0,0,True,0.48,0,True,0.479,0,True,0.48,0,True,0.48,0,True,0.5,4
cardiovascular_system_008,False,5.1,0,False,5.1,0,False,5.11,0,False,5.11,0,False,5.11,0,True,408.8888888888889,5
cardiovascular_system_009,True,0.79,0,True,0.79,0,True,0.79,0,True,0.79,0,True,0.79,0,True,0.79,4
cardiovascular_system_010,True,7.5,0,False,1.5,0,False,20.5,0,False,4.5,0,True,7.5,0,True,7.5,6
cardiovascular_system_011,True,5.0,0,True,5.0,0,True,5.0,0,False,6.0,0,False,6.0,0,True,5.0,4
diabetes_001,True,130.0,0,True,129.73104,0,True,129.7,0,True,130.0,0,True,130.0,0,True,129.731,4
diabetes_002,False,15.0,0,False,55.2,5,True,55.17542519070031,4,False,1.0,0,False,1.0,0,True,55.17542519070031,5
diabetes_003,True,160.0,0,True,160.0,0,True,160.0,0,True,160.0,0,True,160.0,0,True,159.9,4
diabetes_004,True,32.9,0,True,32.85,0,True,32.85,0,True,32.85,0,True,32.85,0,True,32.85,3
diabetes_005,True,4.074,0,False,0.23,5,True,4.07,0,True,4.07,5,True,4.07,4,True,4.07,5
diabetes_006,True,6.8,0,True,6.8,0,True,6.8,0,True,6.8,0,True,6.8,0,True,6.8,4
diabetes_007,False,3.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,0
dietary_001,True,1741.0,0,True,1743.0,0,True,1741.0,0,True,1743.0,0,True,1743.0,0,True,1743.25,4
dietary_002,False,2755.0,0,False,4.0,0,False,2942.0,0,False,5.0,0,False,5.0,0,True,2844.0,4
dietary_003,False,62.4,0,False,65.0,0,False,64.74,0,False,62.4,0,False,62.4,0,True,64.0,4
dietary_004,False,2.0,0,True,1000.0,0,True,1000.0,4,False,15.0,0,True,1000.0,4,True,1000.0,4
dietary_005,False,15.0,0,False,15.0,4,False,15.0,4,False,15.0,0,False,15.0,0,False,15.0,6
dietary_006,False,2358.0,0,False,2358.0,0,False,2358.0,0,False,2358.0,0,False,2358.0,0,False,2358.0,3
dietary_007,False,6.0,0,False,21.0,4,False,12.0,4,False,15.0,4,True,14.0,4,False,5.0,4
digestive_system_001,True,2.0,0,True,2.0,0,True,2.0,0,True,2.0,0,True,2.0,0,True,2.0,4
digestive_system_002,False,10.0,0,False,10.0,0,False,10.0,0,False,10.0,4,False,10.0,4,False,10.0,4
digestive_system_003,False,47.0,0,False,4.0,0,False,244.0,0,False,1.5,0,False,3.0,0,False,418.3,4
digestive_system_004,True,82.4,0,False,158.0,0,False,39.0,0,False,158.0,0,False,158.0,0,True,82.4,4
digestive_system_005,True,3.689,0,True,3.69,0,True,3.69,0,True,3.69,0,True,3.69,0,True,3.6895,7
digestive_system_006,False,33.0,0,False,33.0,0,False,9.0,0,False,8.73,0,False,0.0,0,False,0.643,0
digestive_system_007,False,0.33,0,False,1.91,0,False,0.0,0,True,0.22,0,True,0.22,0,False,0.0,0
dosage_001,False,-400.0,0,False,284.0,0,False,91.0,0,False,284.0,0,False,284.18,0,True,458.4413580246914,4
dosage_002,True,67.5,0,True,67.5,0,True,67.5,0,True,67.5,0,True,67.5,0,True,67.5,4
dosage_003,True,306.0,0,False,300.0,0,True,306.0,0,False,300.0,4,True,306.0,4,False,300.0,4
dosage_004,False,37.5,0,False,27.5,0,False,8.0,0,False,2.5,0,False,28.0,4,False,32.5,5
dosage_006,False,4.34,0,False,8680.0,0,False,130.0,0,False,8680.0,0,False,150.0,0,True,9300.0,5
dosage_007,False,0.001,0,False,5.0,0,False,-24.9,0,False,1.0,0,False,1.0,0,False,5.0,2
dosage_008,True,6.45,0,True,6.45,0,True,6.45,0,True,6.45,0,True,6.45,0,True,6.45,4
dosage_009,True,8.0,0,True,8.0,0,True,8.0,0,True,8.0,0,True,8.0,0,True,8.0,4
dosage_010,False,13.3,0,True,30.0,0,True,30.0,0,True,30.0,5,True,30.0,4,True,30.0,5
dosage_011,False,8160.0,0,False,9000.0,0,False,9000.0,0,False,9000.0,0,False,9000.0,0,True,10200.0,4
electrolytes_fluids_001,True,131.28,0,False,130.0,0,False,129.5,0,False,129.52,0,False,129.52,0,True,131.28,4
electrolytes_fluids_002,True,3.86,0,False,3.42,0,False,3.42,0,False,3.42,0,False,3.42,0,True,3.9,4
electrolytes_fluids_003,True,9360.0,0,True,9360.0,0,True,9360.0,0,True,9360.0,0,True,9360.0,0,True,9360.0,5
electrolytes_fluids_004,True,42.0,0,False,41.67,0,True,42.0,0,False,41.67,0,False,41.67,0,False,41.6667,4
electrolytes_fluids_005,True,50.0,0,True,50.0,0,True,50.0,0,True,50.0,0,True,50.0,0,True,50.0,0
electrolytes_fluids_006,True,408.0,0,True,408.0,0,False,326.4,0,True,408.0,0,True,408.0,0,True,408.0,4
electrolytes_fluids_007,False,0.0,0,False,0.0,0,False,46.8,0,False,0.0,0,False,0.0,0,True,43.84724,4
electrolytes_fluids_008,True,3.0,0,True,3.0,4,True,3.0,0,True,3.0,0,True,3.0,0,True,3.0,4
epidemiology_001,False,2.0,0,True,48.0,4,False,2.0,0,True,48.0,4,False,4.0,1,True,48.0,4
epidemiology_002,True,90.0,0,True,90.0,0,True,90.0,0,True,90.0,0,True,90.0,0,True,90.0,4
epidemiology_003,True,25.0,0,True,25.0,0,True,25.0,0,True,25.0,0,True,25.0,0,True,25.0,4
epidemiology_004,False,12.16,0,False,12.16,0,False,12.16,0,False,12.16,0,False,12.16,0,False,12.16,4
epidemiology_005,False,158.0,0,False,2.5,0,False,2.5,0,False,2.5,0,False,2.5,0,False,2.5,4
epidemiology_006,False,105.0,0,False,1.0,0,True,36.0,4,False,1.0,0,False,1.0,0,True,36.0,4
epidemiology_007,False,27.0,0,False,7080.0,0,False,7080.0,0,False,30.0,0,False,7080.0,0,False,3.0,0
geriatric_medicine_001,True,55.0,0,False,40.0,0,True,55.0,0,False,40.0,0,False,40.0,0,True,55.0,4
geriatric_medicine_002,False,13.0,0,False,10.0,0,True,12.0,0,False,11.0,0,False,10.0,0,False,4.0,0
geriatric_medicine_003,False,8.0,0,False,8.0,0,False,8.0,0,False,8.0,0,False,8.0,0,True,13.0,4
geriatric_medicine_004,True,0.275,0,True,0.275,0,True,0.275,0,True,0.275,0,True,0.275,0,True,0.275,4
geriatric_medicine_005,False,90.0,0,False,120.0,0,False,85.0,0,False,120.0,0,False,120.0,0,True,100.0,4
geriatric_medicine_006,False,92.9,0,True,-1.0,4,False,-7.0,0,True,-1.0,4,True,-1.0,4,True,-1.0,4
geriatric_medicine_007,False,23.0,0,False,-32.0,0,False,18.0,0,False,10.0,0,False,4.0,0,False,2.0,0
gynecology_pregnancy_001,False,12.0,0,False,10.0,0,False,10.0,0,False,10.0,0,False,10.0,0,False,12.0,0
gynecology_pregnancy_002,False,148.16,0,False,8.0,0,False,1.0,0,False,8.0,0,False,8.0,0,True,9.0,4
gynecology_pregnancy_003,False,15.7,0,False,31.0,0,False,1.0,0,False,31.0,0,False,24.0,0,False,31.0,4
gynecology_pregnancy_004,True,1.0,0,True,1.0,0,True,1.0,0,True,1.0,0,True,1.0,0,True,1.0,4
gynecology_pregnancy_005,False,5.0,0,False,8.0,4,False,8.0,5,False,8.0,5,False,8.0,6,False,8.0,4
gynecology_pregnancy_006,False,80.0,0,True,88.82312379774079,5,True,88.82312379774079,5,True,88.82312379774079,4,True,88.82,4,True,88.82312379774079,4
gynecology_pregnancy_007,True,25.2,0,True,25.15,0,True,25.15,0,True,25.15,0,True,25.15,0,True,25.2,4
gynecology_pregnancy_008,False,6.0,0,False,6.0,0,False,6.0,0,False,6.0,0,False,6.0,0,False,8.0,4
gynecology_pregnancy_009,False,21.97,0,False,21.97,0,False,35.0,4,False,21.97,0,False,21.97,0,False,35.0,4
gynecology_pregnancy_010,False,24.0,0,False,55.0,2,False,3.0,0,False,45.0,1,False,,0,False,35.0,2
hematology_001,True,0.88,0,True,0.88,0,True,0.88,0,True,0.88,0,True,0.88,0,True,0.88,4
hematology_002,True,2.5,0,True,2.5,0,True,2.5,0,True,2.5,0,True,2.5,0,True,2.4993,4
hematology_003,True,680.0,0,True,680.0,5,True,680.0,0,True,680.0,5,True,680.0,5,True,680.0,4
hematology_004,False,1562.0,0,False,1562.4,0,True,1451.0,0,False,1562.0,0,False,1562.0,0,True,1450.8,4
hematology_005,False,585.0,0,True,1084.64,4,False,73.0,0,False,585.0,0,False,585.0,0,True,1084.6399999999999,4
hematology_006,True,900.0,0,True,900.0,0,True,900.0,0,True,900.0,0,True,900.0,0,True,900.0,0
hematology_007,True,4.72,0,True,4.72,0,False,1000.0,0,True,4.72,0,False,468.0,0,True,4.72,4
hematology_008,False,0.0,0,True,2695.0,4,False,0.0,0,True,2695.0,0,True,2695.0,0,True,2695.0,4
hematology_009,False,5.2,0,False,5.2,0,False,5.2,0,False,5.2,0,False,5.2,0,True,3.47,4
hematology_010,False,32.8,0,True,32.76,0,False,32.8,0,False,32.8,0,False,32.8,0,False,32.8,5
hematology_011,True,25.0,0,True,25.0,0,True,25.0,0,True,25.0,0,True,25.0,0,True,25.0,4
hematology_012,True,5.64,0,True,5.6,0,True,5.64,0,True,5.6,0,True,5.6,0,True,5.6,4
intensive_emergency_care_001,False,16.0,0,False,0.0,0,False,0.0,0,False,13.0,0,False,0.0,0,True,21.0,4
intensive_emergency_care_002,True,11.0,0,True,11.0,0,True,11.0,0,True,11.0,0,True,11.0,0,True,11.0,4
intensive_emergency_care_003,True,14.0,0,False,12.0,0,False,12.0,0,False,12.0,0,False,12.0,0,True,14.0,4
intensive_emergency_care_004,False,2.0,0,True,14.0,0,False,2.0,0,True,14.0,0,True,14.0,0,False,,0
intensive_emergency_care_005,True,1.333,0,True,1.33,0,True,1.33,0,True,1.33,0,True,1.33,0,True,1.3,4
intensive_emergency_care_006,False,1.9,0,False,7.0,0,False,8.0,0,False,7.0,0,False,7.0,0,True,13.0,4
intensive_emergency_care_007,False,80.0,0,False,60.0,0,False,0.0,0,False,60.0,0,False,60.0,0,True,72.0,4
intensive_emergency_care_008,False,5.0,0,False,6.0,0,False,8.0,0,True,7.0,4,False,6.0,0,True,7.0,4
metabolic_disorders_001,True,2.8,0,True,2.8,0,True,2.8,0,True,2.8,0,True,2.8,0,True,2.8,2
metabolic_disorders_002,True,36.0,0,True,36.0,0,True,36.0,0,True,36.0,0,True,36.0,0,True,36.0,5
metabolic_disorders_003,True,142.0,0,True,142.0,0,True,142.0,0,True,142.0,0,True,142.0,0,True,142.0,5
metabolic_disorders_004,False,6.0,0,True,13.0,4,False,5.0,0,True,13.0,4,True,13.0,4,True,13.0,4
metabolic_disorders_005,True,3.0,0,True,3.0,4,True,3.0,0,True,3.0,0,True,3.0,0,True,3.0,5
other_001,True,10.0,0,True,10.0,0,False,9.0,0,True,10.0,0,True,10.0,0,True,10.0,5
other_002,False,4.0,0,False,4.0,2,True,5.0,0,False,4.0,3,False,4.0,3,True,5.0,6
other_003,False,6.2,0,False,6.2,0,True,6.0,0,False,6.2,0,True,6.0,0,True,6.1,4
other_004,True,9.0,0,True,9.0,0,True,9.0,0,True,9.0,0,True,9.0,0,True,9.0,4
other_005,False,30.0,0,False,3.0,0,False,11.0,0,False,0.0,0,False,0.0,0,False,3.0,0
other_006,False,15.5,0,False,4.0,0,False,36.0,0,False,4.0,0,False,4.0,0,False,8.0,3
other_007,False,0.0,0,False,1.0,0,False,0.01,2,False,1.0,0,False,1.0,0,True,87.575,6
other_008,False,22.5,0,False,8.6,0,False,10.82,0,False,20.0,0,False,8.6,0,False,100.0,0
other_009,True,5.6,0,True,5.6,0,True,5.56,0,True,5.56,0,True,5.56,0,True,5.6,3
pediatric_001,False,2.0,0,False,2025.0,0,True,4752000000.0,0,False,202.0,0,False,2026.0,0,True,4752000000.0,4
pediatric_002,True,8.0,0,True,8.0,0,True,8.0,0,True,8.0,0,True,8.0,0,True,8.0,5
pediatric_003,True,1400.0,0,True,1400.0,0,True,1400.0,0,True,1400.0,0,True,1400.0,0,False,1700.0,4
pediatric_004,False,18.0,0,False,18.0,0,False,15.0,0,False,18.0,0,False,15.0,0,False,14.39,4
pediatric_005,False,26.67,0,False,26.67,0,False,26.67,0,False,26.67,0,False,26.67,0,False,26.67,2
pediatric_006,False,99.9,0,False,2026.0,0,True,4.0,5,False,2026.0,0,False,2026.0,0,True,4.0,5
pediatric_007,False,15.0,0,False,85.0,4,False,149.0,0,False,103.0,4,False,103.125,4,False,51.6,5
pediatric_008,False,126.0,0,True,180.0,0,False,60.0,0,True,180.0,0,True,180.0,0,True,180.0,5
pediatric_dosage_001,False,495.0,0,False,5.0,0,False,550.0,0,False,275.0,0,True,330.0,4,True,330.0,4
pediatric_dosage_002,True,125.0,0,True,125.0,0,True,125.0,0,True,125.0,0,True,125.0,0,True,125.0,4
pediatric_dosage_003,False,80.0,0,False,127.5,1,False,,0,False,127.5,1,False,120.0,2,True,99.0,4
pediatric_dosage_004,True,270.0,0,False,250.0,1,True,270.0,0,True,270.0,1,False,250.0,1,True,270.0,4
pediatric_dosage_005,True,6.4,0,True,6.4,0,True,6.4,0,True,6.4,0,True,6.4,0,True,6.4,4
pediatric_dosage_006,True,0.12,0,True,0.12,0,True,0.12,0,True,0.12,0,True,0.12,0,True,0.12,4
percentile_001,False,50.0,0,False,3200.0,4,False,3200.0,4,True,75.0,4,True,75.0,4,False,3200.0,4
percentile_002,False,60.0,0,True,15.0,4,True,15.0,4,True,15.0,4,True,15.0,4,True,15.0,4
percentile_003,False,70.0,0,True,13.0,4,True,13.0,4,True,13.0,4,True,13.0,4,True,13.0,4
percentile_005,False,50.0,0,True,100.0,5,True,100.0,4,False,50.0,5,True,100.0,5,True,100.0,4
psychiatry_psychology_001,True,5.0,0,False,4.0,0,True,5.0,0,False,4.0,0,False,4.0,0,False,4.0,4
psychiatry_psychology_002,False,16.0,0,False,16.0,0,False,1.0,0,False,16.0,0,False,16.0,0,True,20.0,4
psychiatry_psychology_003,True,13.0,0,True,13.0,0,True,13.0,0,True,13.0,0,True,13.0,0,True,13.0,0
psychiatry_psychology_004,False,21.0,0,False,22.0,0,False,20.0,0,False,22.0,0,False,22.0,0,False,4.5,4
psychiatry_psychology_005,True,23.0,0,True,23.0,0,True,23.0,0,True,23.0,0,True,23.0,0,True,23.0,4
pulmonary_001,True,178.0,0,True,178.0,0,True,177.7,0,True,178.0,0,True,178.0,0,True,178.5,4
pulmonary_002,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,5
pulmonary_003,True,0.62,0,True,0.6176,0,True,0.6176,0,True,0.6176,0,True,0.6176,0,True,0.62,4
pulmonary_004,False,88.0,0,False,88.0,0,False,88.0,0,False,88.0,0,False,88.0,0,False,88.0,4
pulmonary_005,True,410.0,0,True,410.0,0,True,410.0,0,True,410.0,0,True,410.0,0,True,410.0,4
pulmonary_006,False,5.0,0,True,14.0,0,True,14.0,0,True,14.0,0,True,14.0,0,True,14.0,5
pulmonary_007,True,108.0,0,True,108.0,0,True,108.0,0,True,108.0,0,True,108.0,0,True,108.33,4
pulmonary_008,False,6.2,0,False,20.0,0,False,4.76,0,False,5.5,0,False,4.9,0,False,9.82,4
pulmonary_009,True,1.0626,0,True,1.06,0,True,1.06,0,True,1.06,0,True,1.06,0,True,1.06,0
pulmonary_010,False,0.0,0,True,0.6,0,False,60.0,4,True,0.6,0,True,0.6,0,False,60.0,4
radiology_001,False,62.64,0,False,62.64,0,False,0.87,0,False,62.64,0,False,62.64,0,True,72.0,4
radiology_002,False,18.8,0,False,18.8,0,False,18.8,0,False,18.8,0,False,18.8,0,False,18.8,4
radiology_003,False,1003.0,0,False,295.0,0,False,7.0,0,False,300.0,0,False,0.68,0,True,1163.605,4
radiology_004,False,8.0,0,False,9.0,0,False,13.0,0,False,9.0,0,False,9.0,0,False,13.0,4
sleep_001,True,17.5,0,True,17.5,0,True,17.5,0,True,17.5,0,True,17.5,0,True,17.5,4
sleep_002,False,14.0,0,False,13.0,0,False,14.0,0,True,15.0,0,False,7.0,0,False,14.0,4
sleep_003,False,8.0,0,True,7.0,0,True,7.0,0,True,7.0,0,True,7.0,0,True,7.0,4
sleep_004,False,5.0,0,False,5.0,0,False,5.0,0,False,5.0,0,False,5.0,0,True,-5.0,4
sleep_005,False,0.0,0,False,45.0,0,False,525.0,4,False,0.0,0,False,75.0,0,False,525.0,4
urology_nephrology_001,False,2012.0,0,True,45.5,4,False,4.0,3,True,45.5,4,True,45.5,4,True,45.5,5
urology_nephrology_002,False,3.0,0,False,46.04,0,False,46.04,0,False,46.04,0,False,46.04,0,True,43.60416666666667,4
urology_nephrology_003,True,26.7,0,True,26.7,0,True,26.67,0,True,26.67,0,True,26.7,0,True,26.7,4
urology_nephrology_004,True,0.53,0,True,0.53,0,True,0.53,0,True,0.53,0,True,0.53,0,True,0.5314,4
urology_nephrology_005,False,12.0,0,True,5.84,0,True,5.85,0,True,5.85,0,True,5.85,0,True,5.85,4
urology_nephrology_006,True,0.33,0,True,0.33,0,True,0.33,0,True,0.33,0,True,0.33,0,True,0.33,5
urology_nephrology_007,False,5.2,0,True,90.0,4,True,90.0,4,True,90.0,4,True,90.0,4,True,90.0,4
urology_nephrology_008,False,55.0,0,False,60.0,0,False,30.0,0,False,60.0,0,False,56.0,0,False,83.0,4
urology_nephrology_009,False,0.115630882,0,False,1.24,0,True,1.32,0,False,1.24,0,True,1.35,4,True,1.35,4
addiction_medicine_008,False,0.03,0,True,0.00015204868154158224,4,False,0.015,0,True,0.00015204868154158224,4,True,0.00015204868154158224,4,True,0.00015204868154158224,4
addiction_medicine_009,False,5.0,0,True,6.0,0,True,6.0,0,True,6.0,0,True,6.0,0,True,6.0,4
addiction_medicine_010,False,-7.0,0,False,15.0,0,False,16.0,0,False,15.0,0,False,15.0,0,False,26.0,4
addiction_medicine_011,True,16.5,0,True,16.5,0,True,16.5,0,True,16.5,0,True,16.5,0,True,16.5,4
addiction_medicine_012,False,1.0,0,False,15.0,0,True,2020.0,0,False,288.714,0,False,1.0,0,True,2020.0,4
addiction_medicine_013,False,0.0,0,False,9.0,0,False,6.0,0,False,9.0,0,False,9.0,0,True,8.0,4
addiction_medicine_014,False,2.31,0,False,23.3,0,False,6.0,0,False,23.3,0,False,23.3,0,False,266.6,4
bmi_007,True,27.43,0,True,27.43,0,True,27.43,0,True,27.43,0,True,27.43,0,True,27.43,5
bmi_008,False,0.702,0,False,85.0,5,False,85.0,0,True,8.0,5,False,85.0,5,True,8.0,5
bmi_009,True,27.0,0,True,27.0,0,True,27.0,0,True,27.0,0,True,27.0,0,True,27.0,4
bmi_010,False,3.0,0,False,3.0,0,False,3.0,0,True,2.0,0,False,3.0,0,True,2.0,5
bmi_011,True,23.08,0,True,23.08,0,True,23.08,0,True,23.08,0,True,23.08,0,True,23.08,4
bmi_012,True,24.22,0,True,24.22,0,True,24.22,0,True,24.22,0,True,24.22,0,True,24.22,4
body_measurements_009,False,0.0,0,True,1.7262,4,False,0.7,0,True,1.7262,4,True,1.7262,4,True,1.7262,4
body_measurements_010,False,76.5,0,True,76.2016,4,False,76.3,0,True,76.2016,4,True,76.2016,4,True,76.2016,4
body_measurements_011,True,0.08,0,True,0.0802,4,True,0.0802,4,True,0.0802,4,True,0.0802,4,True,0.0802,4
body_measurements_012,True,22.58,0,True,22.58,0,True,22.58,0,True,22.58,0,True,22.58,0,True,22.6,4
body_measurements_013,False,40.2,0,False,9.5,0,False,19.53,4,False,9.5,0,False,9.5,0,False,19.53,4
body_measurements_014,False,63.5,0,True,58.47,4,False,63.5,0,True,58.47,4,True,58.47,4,True,58.47,4
body_measurements_015,True,0.88,0,True,0.88,0,True,0.88,0,True,0.88,0,True,0.88,0,True,0.88,4
body_measurements_016,False,22.1,0,False,17.2,0,False,7.0,0,False,17.2,0,False,17.2,0,False,23.8,4
cardiovascular_system_012,True,5.0,0,True,5.0,0,True,5.0,4,True,5.0,0,True,5.0,0,True,5.0,4
cardiovascular_system_013,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,6
cardiovascular_system_014,False,0.0,0,False,2.0,0,True,15.0,5,False,2.0,0,False,2.0,0,True,15.0,5
cardiovascular_system_015,False,10.5,0,True,0.3,4,True,0.3,4,False,19.78,4,True,0.3,4,True,0.3,4
cardiovascular_system_016,True,113.0,0,True,113.33,0,True,113.0,0,True,113.33,0,True,113.33,0,True,113.3333,4
cardiovascular_system_017,True,0.87,0,True,0.87,0,True,0.87,0,True,0.87,0,True,0.87,0,True,0.87,4
cardiovascular_system_018,True,0.46,0,True,0.46,0,True,0.46,0,True,0.46,0,True,0.46,0,True,0.5,4
cardiovascular_system_019,False,5.6,0,False,5.56,0,False,5.56,0,False,5.56,0,False,5.56,0,True,444.44,5
cardiovascular_system_020,True,0.65,0,True,0.65,0,True,0.65,0,True,0.65,0,True,0.65,0,True,0.65,4
cardiovascular_system_021,False,6.0,0,False,6.0,0,False,6.0,2,False,6.0,0,False,6.0,0,False,,0
cardiovascular_system_022,False,6.0,0,False,6.0,0,False,3.0,0,False,6.0,0,False,6.0,0,True,5.0,4
diabetes_008,True,150.0,0,True,149.55,0,True,150.0,0,True,149.55,0,True,149.55,0,True,149.5511,4
diabetes_009,False,10.0,0,False,130.0,0,True,47.0,5,False,130.0,0,False,130.0,0,True,47.0,5
diabetes_010,True,160.0,0,True,160.0,0,True,160.0,4,True,160.0,0,True,160.0,0,True,159.9,4
diabetes_011,True,36.0,0,True,36.0,0,True,36.0,0,True,36.0,0,True,36.0,0,True,36.0,3
diabetes_012,True,4.07,0,True,4.07,0,True,4.07,0,True,4.07,0,True,4.07,0,True,4.07,5
diabetes_013,True,5.92,0,True,5.92,0,True,5.9,0,True,5.92,0,True,5.92,0,True,5.92,4
diabetes_014,False,3.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,0,True,4.0,4
dietary_008,False,1725.0,0,False,1725.0,0,False,1725.0,0,False,1725.0,0,False,1725.0,0,False,1725.0,4
dietary_009,False,2010.0,0,False,1510.0,0,False,1000.0,0,False,2010.0,0,False,2010.0,4,False,2010.0,4
dietary_010,False,59.76,0,False,59.76,0,False,57.6,0,False,57.6,0,False,57.6,0,True,59.0,4
dietary_011,False,90.0,0,True,1000.0,0,True,1000.0,4,True,1000.0,0,False,,0,False,,0
dietary_012,False,2.4,0,False,2.4,4,False,2.4,4,False,2.4,4,False,2.4,4,False,2.4,4
dietary_013,True,2300.0,0,True,2300.0,0,True,2300.0,0,True,2300.0,0,True,2300.0,0,True,2300.0,4
dietary_014,True,16.0,0,True,16.0,0,True,16.0,0,True,16.0,0,True,16.0,0,True,16.0,4
digestive_system_008,False,1.625,0,False,1.625,0,False,1.625,0,False,1.625,0,False,1.625,0,False,1.625,4
digestive_system_009,True,9.0,0,True,9.0,0,False,3.0,0,True,9.0,0,True,9.0,0,True,9.0,4
digestive_system_010,False,36.0,0,False,-10.0,0,False,89.0,0,False,10.0,0,False,10.0,0,True,396.8,4
digestive_system_011,True,48.8,0,False,92.0,0,False,44.0,0,False,92.0,0,False,92.0,0,True,48.8,4
digestive_system_012,True,4.55,0,True,4.55,0,True,4.55,0,True,4.55,0,True,4.55,0,True,4.5461,7
digestive_system_013,False,4.0,0,False,0.0,0,False,1.0,0,False,0.0,0,False,0.0,0,True,27.9792,4
digestive_system_014,False,0.774,0,True,-0.29,0,False,0.0,0,True,-0.29,0,True,-0.29,0,False,-2857.43,4
dosage_012,True,458.0,0,False,284.0,0,True,458.33,0,False,284.0,0,False,284.0,0,True,458.44,4
dosage_013,True,63.0,0,True,63.0,0,True,63.0,0,True,63.0,0,True,63.0,0,True,63.0,5
dosage_014,True,306.0,0,True,306.0,0,True,306.0,0,True,306.0,0,True,306.0,0,True,306.0,4
dosage_015,False,27.0,0,False,12.5,0,False,0.0,0,False,37.5,0,False,-5.2,0,False,0.0,5
dosage_017,False,0.0,0,False,9520.0,0,False,9520.0,0,False,9520.0,0,False,9520.0,0,True,10200.0,6
dosage_018,False,7.0,0,False,68.0,0,False,62.72,0,False,54.7,0,False,54.7,0,False,70.0,5
